env_0min_1,env_0min_2,env_5min_1,env_5min_2
59433.104856000005,62361.231667,57918.673945,53860.314971
50473.693676,51172.117664000005,45839.911249000004,52395.97958
42434.145723,35327.732483,59078.397667,57591.090257
53517.820068,47749.340782,51012.088721,49912.477254
45124.463919999995,43298.830700000006,47438.80305,50131.395016
52605.614591,45028.95219900001,42931.064198,48694.200738
48924.872632,53236.828905999995,43537.002833,47832.672707000005
41670.321623,59433.104856000005,52889.72930299999,54928.257413
54067.927998,59831.342426999996,51852.516,57231.874081999995
52805.270665000004,53718.318805999996,50131.395016,51627.300467
47262.929603000004,52316.817637,46535.227201999995,53517.820068
49639.023045,52499.089590999996,50351.531967,50571.425686999995
53476.26594699999,57918.673945,48012.936243,54369.41925399999
51794.848826999994,48078.357122,46928.980255,46815.436858
57496.297146000004,49810.996086,44702.37277,42526.109769999995
52189.002782,53338.450515,51172.117664000005,48814.522973
66301.324414,52189.002782,78973.640945,41802.604769
49865.140021,53066.14387000001,45542.790341,50439.005991
46002.730101,43537.002833,45655.513098,53786.191590999995
55052.395534999996,45924.997365,45152.666002,44702.37277
62361.231667,55707.906640999994,56427.283918999994,48643.582168
70107.383468,40400.470866,83813.026174,36269.169096000005
55583.66112799999,50874.390615,53860.314971,54436.586705999995
51627.300467,43803.159016000005,47408.203355,47525.270384999996
45447.798246,58039.578535,53236.828905999995,53394.67099500001
50611.860419,47700.869341,48544.93741,45028.95219900001
48327.539983999995,56662.68079,48643.582168,45924.997365
45152.666002,39816.030342,51232.446512,51327.826151
50404.111091,49124.356272,52316.817637,52995.189730000006
64006.97681099999,71876.159508,68461.580507,49237.079579
46171.533018,50801.998495,42485.149492,44401.833912
32342.318284,52889.72930299999,49731.123615000004,56237.215657
48967.886398999995,49912.477254,41860.354953999995,47626.303273
54646.409542,46313.028667,44161.383093,51852.516
65945.54791400001,61711.083045,67940.43809400001,64848.170744999996
52118.831546,47476.409174,45124.463919999995,46580.629098
50705.0826,44285.553432,48256.053452,44855.773404
45839.911249000004,51384.503412000005,49810.996086,50977.31539
46707.187217,54293.18780199999,50439.005991,49289.932013
40984.610442,51434.744353,48127.9094,52805.270665000004
46956.09427,52395.97958,46083.794912,47000.851784
