0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
214908.49484,204613.93864,210856.35004000002,180966.76841,193992.89175,247337.73615,231664.55351
301036.36196,339516.551,288080.26034,354141.61777,175808.94647000002,216071.01071,127741.77597
223412.23286000002,201876.21292000002,211292.62832,242179.03446,229068.22668,217394.8104,243813.05353
202352.68602,216523.75813000003,214458.6928,200804.87305,236815.83174,221440.04885999998,239082.39334
248692.29128,229068.22668,248692.29128,201876.21292000002,179976.18372,197816.19514999999,243015.37319
189408.8336,197123.53887,193992.89175,214458.6928,223412.23286000002,229953.36233,214458.6928
191194.89863,207023.55430000002,216523.75813000003,231010.50619000001,231010.50619000001,210856.35004000002,205099.87992
201021.42638000002,211292.62832,213410.69832000002,249859.47143,264337.56865,236815.83174,222863.31063000002
199617.55184,202736.51126,205532.28133,212073.18951,221440.04885999998,229068.22668,224609.00229000003
116757.05394000001,108113.324673,129631.08191,103225.26652800001,124988.995,134821.79428,169301.86171
214458.6928,196490.58775,195419.63018,206263.04595,234753.90366,203218.15438000002,196490.58775
257000.09829000002,252931.02555,265389.83284,159212.73457,239082.39334,238362.10336,229068.22668
184794.70539,197452.61649,212906.36143,235873.70197999998,234319.32012999998,210369.42539,187679.33203
207936.38496999998,207936.38496999998,179976.18372,197123.53887,215595.10564000002,275230.56513,260004.15958000004
302552.25771,275230.56513,294239.97321,199137.67087,252931.02555,200804.87305,209789.28118
210856.35004000002,199926.81964,204329.55349000002,196490.58775,210369.42539,217992.11518000002,208319.04963
224609.00229000003,223412.23286000002,235873.70197999998,181577.83855000001,221118.04722,186417.95092,229356.24238999997
235873.70197999998,227956.56522,236815.83174,234319.32012999998,222373.64944,205099.87992,235361.63402
197816.19514999999,201387.9752,188290.4784,208319.04963,205532.28133,233050.35798,207936.38496999998
192474.26116,198291.24408,180582.05334,170273.71060000002,225763.74008999998,221118.04722,195872.90432
212906.36143,222373.64944,231664.55351,263558.11672,182865.02161999998,176644.61385999998,149688.64628
182865.02161999998,192474.26116,207936.38496999998,219782.70931,201021.42638000002,199617.55184,207023.55430000002
195872.90432,187392.82198,205099.87992,187392.82198,188691.29158000002,182865.02161999998,192474.26116
195074.6196,202352.68602,188691.29158000002,219057.67061,271756.46974,306087.62983,317841.5845
207496.48662,209025.68163,207023.55430000002,176644.61385999998,209789.28118,219782.70931,209025.68163
209025.68163,207496.48662,228498.12117,200571.39504,242179.03446,184794.70539,188290.4784
168922.04155999998,170722.58613,190447.93248999998,193590.19165,187392.82198,224609.00229000003,248692.29128
231664.55351,210369.42539,227956.56522,223412.23286000002,214908.49484,168922.04155999998,153083.51776999998
205532.28133,218637.34509000002,197123.53887,164781.89535,177269.66686,175808.94647000002,197452.61649
199926.81964,195419.63018,181300.19402999998,154319.62706,195074.6196,232474.40269,216523.75813000003
183598.05015,176212.36886,176644.61385999998,201021.42638000002,201876.21292000002,191194.89863,213410.69832000002
186417.95092,189408.8336,183598.05015,209025.68163,233050.35798,212314.64067000002,203218.15438000002
315252.46232000005,285822.40068,315252.46232000005,383525.16567,140280.96889,148036.97278,136712.50798
187392.82198,181577.83855000001,201876.21292000002,185098.53155,211292.62832,201021.42638000002,215595.10564000002
249859.47143,249859.47143,239082.39334,217992.11518000002,219057.67061,224084.19556,212906.36143
201387.9752,208319.04963,204613.93864,195074.6196,203218.15438000002,209789.28118,211751.34936000002
186958.94181,206263.04595,200804.87305,183235.30063,170722.58613,178521.2904,207496.48662
203218.15438000002,194563.58722000002,198291.24408,177081.14346,200804.87305,201876.21292000002,206263.04595
194563.58722000002,204329.55349000002,212314.64067000002,180582.05334,222863.31063000002,167782.84058999998,192949.6021
241163.14829,203218.15438000002,229068.22668,192474.26116,232474.40269,227300.90685,227300.90685
190077.22542,193590.19165,195074.6196,151921.37795,212073.18951,202736.51126,199617.55184
177535.76257,155594.7942,181577.83855000001,378908.45554,209025.68163,227956.56522,212314.64067000002
175038.18263,185555.33353,171050.9461,197452.61649,212314.64067000002,214033.63972,211292.62832
160079.25595,158083.96983000002,153701.73823,176212.36886,161791.70924,165415.06137,181300.19402999998
204329.55349000002,212073.18951,229356.24238999997,186417.95092,212906.36143,207936.38496999998,201387.9752
225006.89344,254319.07445000001,223412.23286000002,142731.62821,191194.89863,188974.41557,220669.29802000002
179976.18372,162191.52536,174491.67908,222373.64944,208319.04963,193992.89175,232474.40269
232474.40269,235361.63402,220669.29802000002,246742.20954999997,179618.04456,190447.93248999998,191922.92531
175388.15131000002,165924.3801,186958.94181,210856.35004000002,203652.7028,212073.18951,199926.81964
185555.33353,178003.49055,202736.51126,198291.24408,206263.04595,202352.68602,195419.63018
181300.19402999998,179976.18372,199617.55184,239082.39334,188290.4784,207023.55430000002,184794.70539
160285.04076,177535.76257,203652.7028,166849.50855,185555.33353,184100.28728,205532.28133
193992.89175,172076.15164999999,182865.02161999998,215595.10564000002,217394.8104,225006.89344,223412.23286000002
188290.4784,192949.6021,199926.81964,193992.89175,199926.81964,193590.19165,178936.72292
317841.5845,352502.59408999997,336533.89567999996,424201.88505,112004.32003999999,116415.58367,95653.12608
167782.84058999998,167561.39763,183235.30063,184100.28728,197123.53887,166289.51468,189408.8336
212314.64067000002,199137.67087,211751.34936000002,205099.87992,211751.34936000002,199137.67087,199137.67087
210369.42539,215595.10564000002,212073.18951,233050.35798,213410.69832000002,218637.34509000002,217992.11518000002
191922.92531,182865.02161999998,188974.41557,149932.12377,174758.12427,177081.14346,180966.76841
181577.83855000001,188974.41557,178521.2904,217394.8104,216523.75813000003,200571.39504,202736.51126
175808.94647000002,172435.98483,167782.84058999998,238362.10336,200571.39504,211292.62832,195074.6196
174491.67908,191922.92531,184100.28728,187679.33203,174182.86278,171050.9461,175388.15131000002
207023.55430000002,191194.89863,194563.58722000002,149688.64628,181300.19402999998,209025.68163,203652.7028
203652.7028,240143.35404000003,245294.29878,255651.17474,128270.64112,195074.6196,190077.22542
200571.39504,226365.85479,189408.8336,226365.85479,180966.76841,214458.6928,188974.41557
197452.61649,214033.63972,208319.04963,234753.90366,214458.6928,208319.04963,201021.42638000002
190447.93248999998,174491.67908,178240.31511999998,184367.32121000002,197452.61649,280699.39797,247337.73615
256361.29898000002,358730.37058,200571.39504,272405.36907,201387.9752,191922.92531,190447.93248999998
217394.8104,212314.64067000002,209025.68163,221440.04885999998,202736.51126,192474.26116,184367.32121000002
152679.35476,145080.47584,149088.26019,133871.70249999998,153701.73823,161059.28956,197816.19514999999
172076.15164999999,163786.97708,164781.89535,188691.29158000002,182469.93662999998,223412.23286000002,202352.68602
171050.9461,160821.88118,160821.88118,144572.40436,158340.68147,179976.18372,154319.62706
187679.33203,178521.2904,184794.70539,183598.05015,199137.67087,185555.33353,200571.39504
170467.04995,171784.32267,168487.90797,163376.83714999998,192949.6021,206263.04595,191194.89863
226365.85479,219782.70931,215595.10564000002,236815.83174,167361.09532999998,197452.61649,193590.19165
197123.53887,197816.19514999999,185098.53155,171050.9461,160633.1661,191466.06415,134392.92190000002
176212.36886,166289.51468,172808.86478,182469.93662999998,204613.93864,203652.7028,184100.28728
181980.63621,188290.4784,190077.22542,173844.59149,174491.67908,173058.69945999997,201876.21292000002
174758.12427,190077.22542,187392.82198,195419.63018,190447.93248999998,177535.76257,190784.68421
165415.06137,170035.97615,174758.12427,145080.47584,192474.26116,204329.55349000002,200804.87305
163376.83714999998,167782.84058999998,150688.00175999998,179976.18372,188974.41557,220669.29802000002,186958.94181
161485.46849,173384.63847,176212.36886,177535.76257,202352.68602,192949.6021,160821.88118
196490.58775,190784.68421,193590.19165,116567.77113000001,207023.55430000002,195419.63018,180582.05334
217992.11518000002,195872.90432,218637.34509000002,216523.75813000003,180582.05334,187679.33203,149333.46107999998
183235.30063,199617.55184,186417.95092,162191.52536,150688.00175999998,261077.91633,179976.18372
153701.73823,182469.93662999998,149932.12377,131369.12641,149932.12377,188290.4784,210856.35004000002
