0min_1,0min_2,5min_1,5min_2
53794.576239999995,53794.576239999995,46940.09785,53134.6507
61802.885075,58200.5361975,41658.7308475,45348.41232
52649.710269999996,46730.7206175,55978.30001,51190.6339125
51099.2648775,49428.12895,48057.99442,57422.56779
47525.5337,57496.88132,46372.9281975,55404.79835
57539.28848,49552.512057500004,50832.373009999996,47656.59166
50947.546655,50011.907875,47755.9777925,57026.9358575
60503.929027499995,52973.178427499995,43606.3398075,49482.5780475
58873.838195000004,51290.19133,45740.6061825,49722.771635
28255.745755,31258.6313375,71286.5705,73483.6316625
54150.6817475,53647.795935,48008.301775,49533.1084825
24408.080439999998,24832.0574975,82718.88409,71874.6311
21784.375905,22584.18033,77596.63518499999,80473.26329
22143.45842,27694.099785,83921.6265275,68827.9925125
57496.88132,55699.120664999995,45203.14209,45614.33579
36392.8687525,41595.3004775,62042.640427499995,64265.9528775
42240.794857500005,55524.055440000004,53561.438615,53018.8460525
54086.9547925,54086.9547925,45006.4082475,50533.1277225
40776.771017499996,54254.2771325,55212.07718,52930.597245
56845.67679,56134.9526375,47525.5337,41896.9701125
25807.179855,22816.521252500002,82528.54986,70275.022725
56248.952015,53480.563795,44162.59869,48676.25892
56311.119772499995,49237.14041,52571.87427,43812.005435
40121.608909999995,51074.4416625,54150.6817475,55835.2158575
56365.1792525,47932.9384,57861.440505000006,39864.5685525
57026.9358575,55212.07718,42387.85202,46630.242215
52571.87427,51640.77008,56474.471565,40146.128495
50885.2971825,56659.446169999996,42644.6075025,51364.1509775
54780.4617425,55231.9794225,53895.420585,37456.318425
56600.7965225,43512.230775,52064.954775,47932.9384
52519.3058075,52857.1375275,45982.260985,49615.148225
52857.1375275,56007.624142500004,47196.7578,44442.6787575
49428.12895,47807.792725,56659.446169999996,46250.271479999996
40663.7066225,41990.9314975,54493.9410075,63303.388202500006
57986.40637,59562.5154425,40304.6885725,42032.6948775
47241.46324,48008.301775,46036.8509875,58929.213015
33265.0152075,33806.04788,69949.5249275,62398.169565000004
37488.4075675,44677.578877500004,69880.32546,46084.685225
53434.74631,51364.1509775,45183.396725,48943.413055000005
54192.9361775,55404.79835,45937.5858075,43913.220095
51732.527645,48316.1606,48849.724734999996,49763.3837225
44974.545385000005,47755.9777925,52759.738025,53255.072205000004
42644.6075025,49482.5780475,53711.248845,52857.1375275
10477.36205975,9200.0920355,59986.1465375,115744.93465
51956.00843,49763.3837225,53647.795935,42764.6107375
55088.4147225,45937.5858075,55835.2158575,40651.5856275
29273.90912,26306.4333825,80473.26329,60862.552572500004
49237.14041,52119.8058375,45641.8467175,51640.77008
51364.1509775,54353.764605,46582.8591475,45910.9432275
54696.8717775,49615.148225,47557.9016075,44526.7119425
43405.18411,33092.16976,73436.472135,46390.155525
42831.6108175,41915.6461825,56541.9862775,55307.799315
51571.571245,50885.2971825,46659.0323275,46788.0505675
51640.77008,52759.738025,49533.1084825,41532.56615
54914.64482,50418.491725,42507.3524225,46530.897055
50301.150665,43148.22456,58056.154895,43392.9707625
49300.0589225,48454.192167500005,47241.46324,50418.491725
48849.724734999996,49857.078714999996,46996.608017499995,49274.518835
47601.249572500004,46659.0323275,53134.6507,46858.1341375
38523.5063175,40146.128495,56311.119772499995,58768.08158
49035.46698,42148.346285,55002.764297500005,47703.9283325
49939.499125,55002.764297500005,40619.742992499996,49939.499125
59298.661795,46454.2468525,44589.7407275,43848.3139675
46250.271479999996,45910.9432275,53764.814660000004,48498.100675
