0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
1914350.0176,1945010.9456,1995145.5609000002,2139299.7449000003,2193369.3405999998,2245272.3858,2161472.8726999997
2204781.5393,2155152.793,2139299.7449000003,2266899.3393,1956018.5879000002,1945010.9456,1799635.5318
2431999.5954,2349552.5009,2349552.5009,2110640.8313,1787580.0041,1745580.9937,1542605.6168
1960187.3684999999,1965468.5761,1950748.9864999999,1696362.4644000002,2208621.6533999997,2204781.5393,2320060.7313
2085100.2643,2029408.867,2070895.3888,1903856.1254,2002400.6669,2102786.8937,1974058.6945
1764276.4023000002,1778313.7887000002,1836039.9711,2029408.867,2161472.8726999997,2234706.0730999997,2543695.4981
2063921.5517000002,2451460.8082000003,2019680.3495,2208621.6533999997,1836039.9711,1864051.7728,1819769.3294
2245272.3858,2234706.0730999997,2266899.3393,2214594.6418,1809847.0892999999,1870295.0372000001,1654937.4299
2185806.3928,2161472.8726999997,2245272.3858,2363343.2944,1903856.1254,1829340.0365,1605200.1387
2329658.1069,2208621.6533999997,2208621.6533999997,2302890.6239,1775425.0188000002,1756350.9233,1627264.0378
1948063.1294,1960187.3684999999,2008269.3962,2012789.6120000002,1897912.9905,2085100.2643,2336732.1961999997
1799635.5318,1831467.7914999998,1903856.1254,1984487.1557999998,2144454.0618000003,2155152.793,2414394.3945
1756350.9233,1764276.4023000002,1814124.8960000002,2125909.5094999997,2253221.0625,2185806.3928,2302890.6239
1886059.3059999999,1984487.1557999998,1908686.0508,2292706.1824000003,1948063.1294,1995145.5609000002,2040092.5850000002
2375522.7367,2286620.8943,2313489.9877,2329658.1069,1756350.9233,1676402.9413,1351014.3285
1840838.0322,1897912.9905,1886059.3059999999,1795377.8464000002,2171878.7754,2125909.5094999997,2463919.1357
1912127.6232999999,1923445.6265,2024265.5365,1435017.8018999998,2149910.0485,2149910.0485,2523580.1783
1870295.0372000001,1932135.9000999997,1870295.0372000001,2085100.2643,2085100.2643,2047231.3705000002,2144454.0618000003
2019680.3495,2040092.5850000002,2214594.6418,2185806.3928,1766851.0153,1914350.0176,1745580.9937
1682574.6057999998,1795377.8464000002,1831467.7914999998,2102786.8937,2185806.3928,2161472.8726999997,2392014.5164
1965468.5761,2070895.3888,1856364.8715,1872844.352,1995145.5609000002,2024265.5365,2096999.6357999998
1903856.1254,1974058.6945,1937893.9313,2096999.6357999998,2019680.3495,2008269.3962,1987207.0408
