genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
67609.428663,65019.69950100001,52327.504834,50765.387702
49862.544682,48488.875695,50295.974051000005,51374.056407
67399.322916,60357.533028,45294.130326,42936.264182
49000.270279000004,47052.453698,53272.321811,52154.472905999995
38238.927937,36856.188780000004,61696.559027,59184.784984000005
40550.546997000005,42088.730731,57617.320822,57668.998823999995
54665.504313,63712.139567,25179.535673,27227.700307
47621.04884,48672.889743,53131.766810999994,51332.661247
41848.974257,45165.280322,48072.71808,47394.202399999995
51121.528959,57895.396788,41883.533158,46608.528342
42567.116861,48200.741656,39773.89018,39432.022889
39553.520743,36923.275861999995,41649.798395000005,48488.875695
